date,listeners,streams,followers
2023-01-01,622,761,475
2023-01-02,720,951,476
2023-01-03,909,1144,476
2023-01-04,894,1100,480
2023-01-05,753,960,481
2023-01-06,867,1132,483
2023-01-07,817,1028,486
2023-01-08,801,958,487
2023-01-09,860,1106,488
2023-01-10,816,1050,490
2023-01-11,830,1081,494
2023-01-12,808,1020,497
2023-01-13,744,927,497
2023-01-14,611,755,497
2023-01-15,582,719,503
2023-01-16,666,822,506
2023-01-17,700,823,506
2023-01-18,645,813,507
2023-01-19,718,909,507
2023-01-20,836,1024,507
2023-01-21,696,827,508
2023-01-22,663,810,510
2023-01-23,810,998,511
2023-01-24,907,1066,513
2023-01-25,761,944,516
2023-01-26,819,1041,518
2023-01-27,772,991,519
2023-01-28,746,947,518
2023-01-29,894,1099,521
2023-01-30,787,1012,521
2023-01-31,896,1105,521
2023-02-01,833,1064,523
2023-02-02,780,997,526
2023-02-03,813,1008,528
2023-02-04,721,889,530
2023-02-05,833,1002,532
2023-02-06,948,1166,534
2023-02-07,845,1209,536
2023-02-08,809,1127,539
2023-02-09,870,1067,542
2023-02-10,780,997,545
2023-02-11,675,854,545
2023-02-12,691,867,546
2023-02-13,719,927,547
2023-02-14,796,1026,549
2023-02-15,783,982,550
2023-02-16,858,1041,552
2023-02-17,851,1118,556
2023-02-18,688,901,556
2023-02-19,723,925,561
2023-02-20,815,1109,565
2023-02-21,918,1218,565
2023-02-22,794,1169,568
2023-02-23,1029,1505,572
2023-02-24,1349,1734,575
2023-02-25,802,1025,575
2023-02-26,600,734,575
2023-02-27,671,869,575
2023-02-28,707,979,576
2023-03-01,760,1049,576
2023-03-02,837,1112,580
2023-03-03,871,1128,583
2023-03-04,720,871,584
2023-03-05,794,1136,586
2023-03-06,968,2181,591
2023-03-07,765,1077,593
2023-03-08,835,1075,594
2023-03-09,893,1176,595
2023-03-10,941,1385,600
2023-03-11,915,1272,605
2023-03-12,792,1128,607
2023-03-13,882,1433,612
2023-03-14,766,1023,613
2023-03-15,964,1248,614
2023-03-16,922,1163,615
2023-03-17,834,1072,617
2023-03-18,747,968,618
2023-03-19,782,965,619
2023-03-20,887,1106,621
2023-03-21,949,1322,625
2023-03-22,989,1263,626
2023-03-23,859,1102,627
2023-03-24,838,1147,634
2023-03-25,715,951,635
2023-03-26,715,843,635
2023-03-27,929,1209,637
2023-03-28,901,1133,639
2023-03-29,766,998,643
2023-03-30,857,1045,645
2023-03-31,791,969,646
2023-04-01,728,882,649
2023-04-02,751,870,647
2023-04-03,848,1008,649
2023-04-04,820,950,649
2023-04-05,646,809,650
2023-04-06,740,893,650
2023-04-07,807,1030,650
2023-04-08,705,888,651
2023-04-09,720,884,652
2023-04-10,788,951,653
2023-04-11,831,1035,654
2023-04-12,823,995,656
2023-04-13,734,908,657
2023-04-14,761,983,658
2023-04-15,666,824,659
2023-04-16,668,818,659
2023-04-17,812,1018,659
2023-04-18,726,964,660
2023-04-19,750,939,661
2023-04-20,740,929,662
2023-04-21,898,1111,663
2023-04-22,898,1096,666
2023-04-23,853,1050,668
2023-04-24,900,1147,669
2023-04-25,947,1169,672
2023-04-26,942,1161,672
2023-04-27,907,1074,674
2023-04-28,999,1173,674
2023-04-29,787,947,676
2023-04-30,749,912,677
2023-05-01,883,1070,678
2023-05-02,875,1097,679
2023-05-03,842,1054,682
2023-05-04,867,1134,683
2023-05-05,868,1269,685
2023-05-06,837,1247,688
2023-05-07,850,1050,694
2023-05-08,914,1149,695
2023-05-09,905,1201,697
2023-05-10,899,1215,698
2023-05-11,789,979,698
2023-05-12,832,1038,698
2023-05-13,739,925,700
2023-05-14,675,895,702
2023-05-15,725,895,702
2023-05-16,752,977,704
2023-05-17,730,913,707
2023-05-18,625,746,709
2023-05-19,634,804,708
2023-05-20,820,1016,716
2023-05-21,502,628,717
2023-05-22,626,766,718
2023-05-23,621,769,719
2023-05-24,635,788,719
2023-05-25,489,609,720
2023-05-26,500,636,720
2023-05-27,436,552,720
2023-05-28,431,518,721
2023-05-29,405,525,723
2023-05-30,543,693,723
2023-05-31,512,633,725
2023-06-01,567,764,726
2023-06-02,852,1032,727
2023-06-03,553,672,730
2023-06-04,564,703,731
2023-06-05,575,720,734
2023-06-06,596,741,736
2023-06-07,578,733,737
2023-06-08,553,672,738
2023-06-09,538,674,737
2023-06-10,464,560,735
2023-06-11,578,698,736
2023-06-12,626,753,737
2023-06-13,542,718,738
2023-06-14,518,628,738
2023-06-15,514,613,739
2023-06-16,470,564,739
2023-06-17,377,454,740
2023-06-18,493,596,741
2023-06-19,493,614,741
2023-06-20,479,591,742
2023-06-21,461,581,742
2023-06-22,507,647,744
2023-06-23,723,928,743
2023-06-24,632,759,744
2023-06-25,650,761,744
2023-06-26,606,743,744
2023-06-27,678,811,745
2023-06-28,757,943,743
2023-06-29,640,786,743
2023-06-30,661,858,743
2023-07-01,618,771,745
2023-07-02,546,674,745
2023-07-03,679,906,747
2023-07-04,630,824,748
2023-07-05,734,932,749
2023-07-06,717,926,750
2023-07-07,716,884,750
2023-07-08,562,722,751
2023-07-09,521,662,752
2023-07-10,665,844,757
2023-07-11,628,790,758
2023-07-12,752,984,759
2023-07-13,518,683,760
2023-07-14,597,848,761
2023-07-15,524,756,761
2023-07-16,500,683,761
2023-07-17,470,560,761
2023-07-18,518,620,761
2023-07-19,554,687,761
2023-07-20,482,609,761
2023-07-21,518,647,761
2023-07-22,500,631,764
2023-07-23,467,565,764
2023-07-24,504,618,765
2023-07-25,501,718,766
2023-07-26,602,749,766
2023-07-27,534,678,768
2023-07-28,545,762,768
2023-07-29,456,581,771
2023-07-30,456,570,771
2023-07-31,474,606,771
2023-08-01,461,566,773
2023-08-02,448,566,775
2023-08-03,439,531,775
2023-08-04,487,581,777
2023-08-05,453,572,778
2023-08-06,396,510,777
2023-08-07,435,532,779
2023-08-08,518,642,783
2023-08-09,544,633,783
2023-08-10,563,661,784
2023-08-11,512,584,785
2023-08-12,523,644,786
2023-08-13,476,590,790
2023-08-14,528,707,789
2023-08-15,483,589,790
2023-08-16,498,619,791
2023-08-17,435,618,792
2023-08-18,442,668,793
2023-08-19,459,665,794
2023-08-20,400,565,796
2023-08-21,352,538,797
2023-08-22,449,951,798
2023-08-23,404,558,798
2023-08-24,452,608,798
2023-08-25,470,588,800
2023-08-26,417,552,800
2023-08-27,437,571,801
2023-08-28,571,741,801
2023-08-29,556,726,801
2023-08-30,520,701,802
2023-08-31,497,613,802
2023-09-01,516,657,803
2023-09-02,481,695,803
2023-09-03,498,687,802
2023-09-04,536,730,804
2023-09-05,595,818,805
2023-09-06,598,871,807
2023-09-07,614,843,809
2023-09-08,502,747,814
2023-09-09,496,752,814
2023-09-10,510,636,816
2023-09-11,706,991,817
2023-09-12,656,1196,817
2023-09-13,558,834,817
2023-09-14,587,786,817
2023-09-15,597,750,819
2023-09-16,538,674,819
2023-09-17,524,654,822
2023-09-18,521,742,827
2023-09-19,550,688,826
2023-09-20,580,994,826
2023-09-21,551,714,829
2023-09-22,527,664,829
2023-09-23,485,648,830
2023-09-24,464,601,832
2023-09-25,520,698,836
2023-09-26,568,784,838
2023-09-27,557,701,839
2023-09-28,524,695,840
2023-09-29,540,687,841
2023-09-30,487,650,843
2023-10-01,484,631,843
2023-10-02,1278,1737,844
2023-10-03,1131,1638,847
2023-10-04,935,1265,848
2023-10-05,892,1238,849
2023-10-06,826,1149,850
2023-10-07,823,1081,851
2023-10-08,789,988,848
2023-10-09,849,1145,850
2023-10-10,824,1076,849
2023-10-11,760,951,849
2023-10-12,653,992,849
2023-10-13,646,1182,849
2023-10-14,572,743,851
2023-10-15,592,728,853
2023-10-16,801,1185,854
2023-10-17,751,1197,854
2023-10-18,777,1107,855
2023-10-19,715,1089,856
2023-10-20,673,886,859
2023-10-21,675,944,861
2023-10-22,677,1635,861
2023-10-23,822,1886,862
2023-10-24,796,1474,864
2023-10-25,613,842,864
2023-10-26,612,832,867
2023-10-27,582,793,868
2023-10-28,531,745,869
2023-10-29,466,592,869
2023-10-30,593,750,871
2023-10-31,602,792,872
2023-11-01,632,859,873
2023-11-02,621,791,873
2023-11-03,573,699,873
2023-11-04,557,723,873
2023-11-05,544,669,874
2023-11-06,629,776,875
2023-11-07,578,802,877
2023-11-08,603,746,878
2023-11-09,611,752,878
2023-11-10,554,748,878
2023-11-11,494,652,878
2023-11-12,490,638,879
2023-11-13,536,704,879
2023-11-14,528,670,880
2023-11-15,584,780,880
2023-11-16,561,807,880
2023-11-17,516,689,882
2023-11-18,486,631,883
2023-11-19,496,598,883
2023-11-20,616,780,884
2023-11-21,578,765,886
2023-11-22,557,708,887
2023-11-23,543,673,887
2023-11-24,589,730,886
2023-11-25,649,765,888
2023-11-26,794,903,889
2023-11-27,1152,1379,889
2023-11-28,895,1149,890
2023-11-29,792,1007,892
2023-11-30,707,883,892
2023-12-01,611,830,892
2023-12-02,562,694,892
2023-12-03,533,647,894
2023-12-04,727,901,894
2023-12-05,672,841,893
2023-12-06,659,895,894
2023-12-07,676,895,896
2023-12-08,714,856,896
2023-12-09,525,642,899
2023-12-10,549,647,901
2023-12-11,754,929,901
2023-12-12,726,864,901
2023-12-13,679,837,901
2023-12-14,656,954,902
2023-12-15,617,848,902
2023-12-16,558,694,903
2023-12-17,893,990,922
2023-12-18,622,807,922
2023-12-19,602,795,923
2023-12-20,542,681,925
2023-12-21,520,646,927
2023-12-22,506,635,928
2023-12-23,1083,1252,927
2023-12-24,702,803,928
2023-12-25,416,495,927
2023-12-26,503,638,928
2023-12-27,735,890,928
2023-12-28,762,902,929
2023-12-29,606,755,930
2023-12-30,574,682,930
2023-12-31,573,729,932
2024-01-01,529,669,933
2024-01-02,737,955,933
2024-01-03,981,1166,934
2024-01-04,793,979,934
2024-01-05,659,811,935
2024-01-06,628,795,936
2024-01-07,626,754,936
2024-01-08,689,940,938
2024-01-09,661,842,939
2024-01-10,622,865,938
2024-01-11,624,774,939
2024-01-12,530,679,940
2024-01-13,438,565,942
2024-01-14,489,621,943
2024-01-15,454,554,945
2024-01-16,1146,1356,1036
2024-01-17,495,677,1036
2024-01-18,633,794,1037
2024-01-19,649,825,1038
2024-01-20,775,977,1037
2024-01-21,569,784,1037
2024-01-22,789,1053,1039
2024-01-23,929,1221,1042
2024-01-24,697,953,1044
2024-01-25,602,797,1044
2024-01-26,505,647,1045
2024-01-27,518,719,1047
2024-01-28,449,604,1048
2024-01-29,541,711,1051
2024-01-30,545,760,1052
2024-01-31,707,919,1054
2024-02-01,659,848,1056
2024-02-02,672,825,1057
2024-02-03,495,613,1057
2024-02-04,468,618,1058
2024-02-05,634,799,1060
2024-02-06,913,1101,1062
2024-02-07,1000,1268,1063
2024-02-08,759,956,1064
2024-02-09,663,917,1065
2024-02-10,548,698,1066
2024-02-11,552,702,1068
2024-02-12,673,850,1068
2024-02-13,510,638,1068
2024-02-14,583,749,1068
2024-02-15,686,847,1070
